term,label,class_name,class_ns_name,material_category,definition,examples,usage_note,source,rdf_type,datatype,is_required,note,editorial_note,namespace,namespace_iri,term_created,term_modified,document_modified,last_published
mineralDescription,Mineral Description,MaterialAssertion,dwc:MaterialAssertion,Constituent Part,"Comments or notes about the mineral instance, especially those that distinguish the mineral from similar materials in a collection",Pink fluorite on quartz | Lengenbachite on sugar-grained dolomite | Epitaxial growth on kyanite | Doubly terminated quartz crystals,"The scope of this term is strictly to a mineral within the context of the specimen. Specimen level descriptions belong in the related term, specimenDescription. Sibling concept to http://rs.tdwg.org/dwc/terms/occurrenceRemarks",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,string,FALSE,,,geoext,http://rs.tdwg.org/geoext/terms/,,,,
maxCrystalDimensionInMillimeters,Maximum Axial Dimension,MaterialAssertion,dwc:MaterialAssertion,Constituent Part,Maximum axial dimension of largest crystal measured in millimeters,30,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,numeric,FALSE,,,geoext,http://rs.tdwg.org/geoext/terms/,,,,
associatedMinerals,Associated Minerals,MaterialAssertion,dwc:MaterialAssertion,Constituent Part,List of secondary minerals associated with a mineral in a specimen,calcite | dolomite | baryte,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,string,FALSE,,,geoext,http://rs.tdwg.org/geoext/terms/,,,,
aggregateForm,Aggregate Form,MaterialAssertion,dwc:MaterialAssertion,Specimen,Observable crystal shapes of an assemblage of minerals,radial | botryoidal | oolithic,Recommended best practice is to use a controlled vocabulary,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,string,FALSE,,,geoext,http://rs.tdwg.org/geoext/terms/,,,,
crystalHabit,Crystal Habit,MaterialAssertion,dwc:MaterialAssertion,Constituent Part,A general term for describing the outward appearance of a mineral,isometric | tabular | fibrous | dogtooth | nailhead ,"Recommended best practice is to use a controlled vocabulary. For a given type of crystal, the habit may vary from locality to locality depending on environment of growth.",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,string,FALSE,,,geoext,http://rs.tdwg.org/geoext/terms/,,,,
crystalForm,Crystal Form,MaterialAssertion,dwc:MaterialAssertion,Constituent Part,Geometric shape of a crystal,cube | ditrigonal pyramid | scalenohedron,Recommended best practice is to use a controlled vocabulary,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,string,FALSE,Alternate definition: A crystal form is a set of crystal faces that are related to each other by symmetry.,,geoext,http://rs.tdwg.org/geoext/terms/,,,,
twinningLaw,Twinning Law,MaterialAssertion,dwc:MaterialAssertion,Constituent Part,Short description of any physically discernable twinning,Dauphine twinning/Dauphine Law | Japan twinning/Japan Law | Brazil twinning/Brazil Law,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,string,FALSE,,,geoext,http://rs.tdwg.org/geoext/terms/,,,,
color,Color,MaterialAssertion,dwc:MaterialAssertion,Constituent Part,The intrinsic color of a mineral under natural light,Blue | green | red | iridescent,"Here, color is caused by the absorption, or lack of absorption of different wavelengths of natural light by a particular mineral",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,string,FALSE,Color under natural light conditions,,geoext,http://rs.tdwg.org/geoext/terms/,,,,
exsolutionTexture,Exsolution Texture,MaterialAssertion,dwc:MaterialAssertion,Constituent Part,A brief description of textures formed by exsolution,Ilmenite lamellae in olivine | Clinopyroxene lamellae along the (100) plane of orthopyroxene | Antiperthite exsolution.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,string,FALSE,,,geoext,http://rs.tdwg.org/geoext/terms/,,,,
cleavage,Cleavage,MaterialAssertion,dwc:MaterialAssertion,Constituent Part,"Type of breakages along a plane of weakness, especially those parallel to crystal faces",Extraordinary well developed rectangular cleavage,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,string,FALSE,,,geoext,http://rs.tdwg.org/geoext/terms/,,,,
luster,Luster,MaterialAssertion,dwc:MaterialAssertion,Constituent Part,"The reflection of light from the surface of a mineral, described by its quality and intensity",Metallic | Glassy | Waxy,Recommended best practice is to use a controlled vocabulary,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,string,FALSE,,,geoext,http://rs.tdwg.org/geoext/terms/,,,,
inclusions,Inclusions,MaterialAssertion,dwc:MaterialAssertion,Constituent Part,Short description of any inclusions present within a mineral that includes the phase and physical characteristics,Star-shaped rutile needles in quartz | Needles of tourmaline in quartz (blue quarz) | Fluid inclusions (liquid bubble and single crystal) in quartz,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,string,FALSE,"Inclusions are defined as small foreign bodies (solid, liquid, or gas) within the physical bounds of a material commonly trapped during formation",,geoext,http://rs.tdwg.org/geoext/terms/,,,,
luminescence,Luminescence Description,MaterialAssertion,dwc:MaterialAssertion,Constituent Part,The type and nature of light emitted from the mineral upon receiving energy from an external source.,Green fluorescence | Pink under short wave UV light,"Includes all types of luminescence including fluorescence (all wavelengths) and phosphorescence. Recommended best practice is to use nomenclature in part based on the source of energy, or the trigger for the luminescence.",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,string,FALSE,,,geoext,http://rs.tdwg.org/geoext/terms/,,,,
alterationDescription,Alteration Description,MaterialAssertion,dwc:MaterialAssertion,Constituent Part,A description of any observed changes in the composition of a mineral brought about by physical or chemical processes related to changes in the physical or chemical environment. ,Dolomitization | Fenitization | Rodingitization,,"http://linked.data.gov.au/def/geological-observation-type/alteration, http://www.opengis.net/gsml/4.1/GeoSciML-Extension",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,string,FALSE,,Definition adopted from the concepts under term sources,geoext,http://rs.tdwg.org/geoext/terms/,,,,
Hazard,Hazard,Hazard,geoext:Hazard,,"Properties that describe sources of potential damage, harm, or adverse health effects on something or someone.",,,,http://www.w3.org/2000/01/rdf-schema#Class,,,,,geoext,http://rs.tdwg.org/geoext/terms/,,,,
hazardType,Hazard Type,Hazard,geoext:Hazard,Specimen,Term that belongs to a hazard classification scheme based on a set of unique characteristics and negative health outcomes.,Carcinogen | skin irritant | radioactive | toxic,Recommended best practice is to use a controlled vocabulary,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,string,FALSE,,,geoext,http://rs.tdwg.org/geoext/terms/,,,,
hazardRemarks,Hazard Remarks,Hazard,geoext:Hazard,Specimen,General remarks regarding the hazard type within the scope of the specific collection object,asbestos | slightly radioactive,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,string,FALSE,,,geoext,http://rs.tdwg.org/geoext/terms/,,,,
Conservation,Conservation,Conservation,geoext:Conservation,,"Processes, protocols, and techniques established for the purpose of the protection and preservation of a mineral or specimen",,,,http://www.w3.org/2000/01/rdf-schema#Class,,,,"Changed level to Specimen to simplify usage. If conservation is associated with a specific mineral in a compound specimen, then that should be declared in the description",geoext,http://rs.tdwg.org/geoext/terms/,,,,
treatments,Treatments,Conservation,geoext:Conservation,Specimen,Description of any processes or curatorial actions taken specifically to mitigate damage,,Includes both proactive and reactive actions,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,string,FALSE,,,geoext,http://rs.tdwg.org/geoext/terms/,,,,
handlingRequirements,Handling Requirements,Conservation,geoext:Conservation,Specimen,A summary of the procedural requirements employed to preserve and protect the specimen during physical interaction,Handle with gloves | Not to be taken ourt of storage medium | delicate | avoid contact with direct sunlight,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,string,FALSE,,,geoext,http://rs.tdwg.org/geoext/terms/,,,,
damageRemarks,Damage Remarks,Conservation,geoext:Conservation,Specimen,A general description of any material changes to a mineral which is perceived to have negatively affected an itemâ€™s value-defining aspects.,"Due to oxidation and hydration of the pyrite in the coal, the sample has largley decayed to a coal powder with some larger coal pieces | Some terminations broken off | Attached label not legible (or torn, or covered) ",,"Royce, K., Baars, C., & Viles, H. (2021). Defining Damage and Susceptibility, with Implications for Mineral Specimens and Objects: Introducing the Mineral Susceptibility Database. Studies in Conservation, 68(3), 298â€“317. https://doi.org/10.1080/00393630.2021.2015947",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,string,FALSE,,,geoext,http://rs.tdwg.org/geoext/terms/,,,,
Chemistry,Chemistry,Chemistry,geoext:Chemistry,,Properties that describe the chemical composition of a geological material (mineral),,,,http://www.w3.org/2000/01/rdf-schema#Class,,,,,geoext,http://rs.tdwg.org/geoext/terms/,,,,
measuredChemistry,Measured Formula,Chemistry,geoext:Chemistry,Constituent Part,"A concise expression of the chemical composition of a mineral that shows the number of atoms of each element in a molecule, their spatial arrangement, and their linkage to each other.","SiO2 (65.76), TiO2 (32.120), Al2O3 (2.21) | (Mg0.77Fe0.23)2SiO4 | An6.4 Ab73.6 Or20",,Defintion adopted from Structural Formula (http://purl.obolibrary.org/obo/MS_1000867) in the Mass spectrometry ontology,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,string,FALSE,,,geoext,http://rs.tdwg.org/geoext/terms/,,,,
chemistryRemarks,Chemistry Remarks,Chemistry,geoext:Chemistry,Constituent Part,General remarks about the chemical and isotopic composition of a mineral,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,string,FALSE,,,geoext,http://rs.tdwg.org/geoext/terms/,,,,
measuredChemistrySource,Measured Chemistry Source,Chemistry,geoext:Chemistry,Constituent Part,A list (concatenated and separated) of resources associated with the reported measured chemistry described specifically enough to allow anyone in the future to use the same resources.,"Novak, G. A., & Gibbs, G. V. (1971). The crystal chemistry of the silicate garnets. American Mineralogist: Journal of Earth and Planetary Materials, 56(5-6), 791-825.","Recommended best practice is to use full bibliographic citations, global unique identifiers, or resolvable and persistent URIs. See the broader concept http://rs.tdwg.org/dwc/terms/associatedReferences",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,string,FALSE,,,geoext,http://rs.tdwg.org/geoext/terms/,,,,
mineralogicalAnalysisProtocol,Mineralogical Analysis Protocol,Chemistry,geoext:Chemistry,Constituent Part,The technique utilized to determine the chemical composition or crystallography of a mineral,Wet Chemistry | X-ray fluorescence | Electron probe microanalysis | Scanning electron microscopy with energy-dispersive X-ray spectroscopy | X=ray diffraction ,Acronyms should be avoided even for widely recognized annotations. Recommended best practice is to use a controlled vocabulary such as https://vocabs.ardc.edu.au/viewById/650,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,string,FALSE,,,geoext,http://rs.tdwg.org/geoext/terms/,,,,
GeologicContext,Geologic Context,GeologicContext,dwc:GeologicContext,,"Geological information, such as stratigraphy, that qualifies a region or place.",,,,http://www.w3.org/2000/01/rdf-schema#Class,,,,,dwc,http://rs.tdwg.org/dwc/terms/,,,,
geologicProvince,Geologic Province,GeologicContext,dwc:GeologicContext,Specimen,"Extensive named region with a similar geologic history throughout or similar structural, petrographic, or physiographic features in which the dwc:Location occurs",Coastal Plain | Piedmont | Blue Ridge | Colorado Plateaus | Basin and Range | Dalradian Metamorphic Belt,,"Neuendorf, K. K. (2005). Glossary of geology. Springer Science & Business Media.",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,string,FALSE,,,geoext,http://rs.tdwg.org/geoext/terms/,,,,
lithodemicUnit,Lithodemic Unit,GeologicContext,dwc:GeologicContext,Specimen,"Geologic unit that lacks stratification, primarily comprised of intrusive, deformed, and (or) metamorphosed rock, and characterized by irregularly mixed lithology or highly complicated structural relations.",Catalina Core Complex (named unit) igneous complex | injection complex | metamorphic complex | basement complex,"Due to the unstructured nature of complexes, both named units and lithological descriptive terms are acceptable values.","http://inspire.ec.europa.eu/codelist/GeologicUnitTypeValue/lithodemicUnit, https://w3id.org/gso/1.0/geologicunit/Lithodemic_Unit",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,string,FALSE,,,geoext,http://rs.tdwg.org/geoext/terms/,,,,
geologicEvent,Geologic Event,GeologicContext,dwc:GeologicContext,Specimen,An identifiable event during which one or more geological processes associated with the formation of a geological specimen or act to modify an existing geological specimen.,Sevier orogeny | Alleghanian orogeny | Alpine orogeny | Variscan orogeny | Waipounamu Erosion surface | Vredefort impact,,gml:GeologicEvent,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,string,FALSE,,,geoext,http://rs.tdwg.org/geoext/terms/,,,,
mineralSequence,Mineral Sequence,GeologicContext,dwc:GeologicContext,Specimen,A list of minerals in a specimen ordered in a manner that illustrates the relative timing of mineral formation within a specimen.,Sphalerite > Quartz > Pyrite | Calcite > Quartz > Sphalerite > Pyrite,"The list should only contain minerals that belong to a readily identifiable sequence of formation. Therefore, a list may contain a subset of the minerals in a specimen. Minerals that formed in-situ with one another are separated by a plus. Minerals that formed in the sequence are separated by a greater than symbol.",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,string,FALSE,,,geoext,http://rs.tdwg.org/geoext/terms/,,,,
tectonicUnits,Tectonic Units,GeologicContext,dwc:GeologicContext,Specimen,The combination of all tectonic unit names for the rock from which the dwc:MaterialEntity was collected.,"Upper Helvetic, Wildhorn Nappe Complex, Sublage Nappe",Recommended best practice is to use an authoritative tectonic unit lexicon such as the Tectonic Map of Switzerland (TK500),,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,string,FALSE,,,geoext,http://rs.tdwg.org/geoext/terms/,,,,
Location,Location,Location,dwc:Location,,A spatial region or named place.,,,,http://www.w3.org/2000/01/rdf-schema#Class,,,,,dwc,http://rs.tdwg.org/dwc/terms/,,,,
sampledFeature,Sampled Feature,Location,dwc:Location,Specimen,"The type of physical feature, both naturally-occuring and anthropogenic in origin, sampled during a sampling event (dwc:Event) at a dwc:Location",float | mine dump | mine/quarry pit | outcrop | erratic boulder,"A sampled feature has a type and optional name that distinuishes the feature from similar entities. Sampled features can be anthropogenic (roadcut, borehole) or naturally occurring (outcrop).",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,string,FALSE,,,geoext,http://rs.tdwg.org/geoext/terms/,,,,
namedPlace,Named Place,Location,dwc:Location,Specimen,"The full, unabbreviated name of a geographic location not otherwise categorized by a dwc:Location property that is naturally occurring or anthropogenic in origin within a historical, administrative, or cultural context in which dcterms:Location occurs.",Susanna Mine | Craigleith Quarry | Red Cloud Mine,"Only the names of locations anthropogenic in origin should use the namedPlace property. For naturally-occurring locations, please use terms in dwc:GeologicContext (e.g., geologicProvince) class. For named places represented as URIs or global unique identifiers, please use dwc:locationID.",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,string,FALSE,,,geoext,http://rs.tdwg.org/geoext/terms/,,,,
isTypeLocality,Is Type Locality,Location,dwc:Location,Constituent Part,Whether or not the dwc:Location is the same locality where the original material used for the formal definition of the mineral species originated.,True | False,,https://www.mindat.org/glossary/type_locality,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,boolean,FALSE,,,geoext,http://rs.tdwg.org/geoext/terms/,,,,
ChronometricAge,ChronometricAge,ChronometricAge,chrono:ChronometricAge,,An approximation of a temporal position (in the sense conveyed by https://www.w3.org/TR/owl-time/#time:TemporalPosition) that is supported via evidence.,,,,http://www.w3.org/2000/01/rdf-schema#Class,,,,,chrono,http://rs.tdwg.org/chrono/terms/,,,,
chronometricAgeGeologicProcess,Chronometric Age Geologic Process,ChronometricAge,chrono:ChronometricAge,Constituent Part,The name of the geologic process associated with the chronometric age,Igneous Crystallization | magmatic cooling,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,string,FALSE,,,chrono,http://rs.tdwg.org/chrono/terms/,,,,
